Image,Conversion (nm/pixel),Image (clean name),Length (pixels),Width (pixels)
01_01.jpg,0.38,01_01.jpg,512,512
01_02.jpg,0.38,01_02.jpg,512,512
01.jpg,0.38,01.jpg,512,512
02_01.jpg,0.38,02_01.jpg,512,512
02_02.jpg,0.38,02_02.jpg,512,512
02_03.jpg,0.38,02_03.jpg,512,512
02.jpg,0.38,02.jpg,512,512
03_02.jpg,0.38,03_02.jpg,512,512
03_03.jpg,0.38,03_03.jpg,512,512
03.jpg,0.38,03.jpg,512,512
04_01.jpg,0.38,04_01.jpg,512,512
04_02.jpg,0.38,04_02.jpg,512,512
04_03.jpg,0.38,04_03.jpg,512,512
04.jpg,0.38,04.jpg,512,512
05_01.jpg,0.38,05_01.jpg,512,512
05_02.jpg,0.38,05_02.jpg,512,512
05_03.jpg,0.38,05_03.jpg,512,512
05.jpg,0.38,05.jpg,512,512
06_01.jpg,0.38,06_01.jpg,512,512
06_02.jpg,0.38,06_02.jpg,512,512
06_03.jpg,0.38,06_03.jpg,512,512
06.jpg,0.38,06.jpg,512,512
07_01.jpg,0.38,07_01.jpg,512,512
07_02.jpg,0.38,07_02.jpg,512,512
07.jpg,0.38,07.jpg,512,512
08_01.jpg,0.38,08_01.jpg,512,512
08_02.jpg,0.38,08_02.jpg,512,512
08.jpg,0.38,08.jpg,512,512
09_01.jpg,0.38,09_01.jpg,512,512
09_02.jpg,0.38,09_02.jpg,512,512
09_03.jpg,0.38,09_03.jpg,512,512
09.jpg,0.38,09.jpg,512,512
1 200K -1um.png,0.056,1_200K_-1um.png,2048,2048
1 39K.png,0.559,1_39K.png,1024,1024
???,0.237,1_93K.png,,
10_01.jpg,0.38,10_01.jpg,512,512
10_02.jpg,0.38,10_02.jpg,512,512
10_03.jpg,0.38,10_03.jpg,512,512
10 115K.png,0.192,10 115K.png,1024,1024
10_115K.png,0.192,10_115K.png,1024,1024
10 200K -1um.png,0.056,10_200K_-1um.png,2048,2048
10 59K.png,0.368,10_59K.png,1024,1024
10 78K.png,0.286,10 78K.png,1024,1024
10_78K.png,0.286,10_78K.png,1024,1024
10.jpg,0.38,10.jpg,512,512
100dpa Voids2 over 512.png,0.164,100dpa_Voids2_over_512.png,1024,1024
100dpa Voids2 under 512.png,0.164,100dpa_Voids2_under_512.png,1024,1024
100dpa Voids3 over 512.png,0.164,100dpa_Voids3_over_512.png,1024,1024
???,0.164,100dpa_Voids3_over_512.png,,
11_01.jpg,0.38,11_01.jpg,512,512
11_02.jpg,0.38,11_02.jpg,512,512
11.jpg,0.38,11.jpg,512,512
12_01.jpg,0.38,12_01.jpg,512,512
12_02.jpg,0.38,12_02.jpg,512,512
12_03.jpg,0.38,12_03.jpg,512,512
12.jpg,0.38,12.jpg,512,512
13_01.jpg,0.38,13_01.jpg,512,512
13_02.jpg,0.38,13_02.jpg,512,512
13_03.jpg,0.38,13_03.jpg,512,512
13_04.jpg,0.38,13_04.jpg,512,512
13.jpg,0.38,13.jpg,512,512
14_01.jpg,0.38,14_01.jpg,512,512
14_02.jpg,0.38,14_02.jpg,512,512
14_03.jpg,0.38,14_03.jpg,512,512
14_04.jpg,0.38,14_04.jpg,512,512
14_05.jpg,0.38,14_05.jpg,512,512
14.jpg,0.38,14.jpg,512,512
15_01.jpg,0.38,15_01.jpg,512,512
15_02.jpg,0.38,15_02.jpg,512,512
15_03.jpg,0.38,15_03.jpg,512,512
15_04.jpg,0.38,15_04.jpg,512,512
15.jpg,1.5,15.jpg,512,512
16_01.jpg,0.38,16_01.jpg,512,512
16_02.jpg,0.38,16_02.jpg,512,512
16_03.jpg,0.38,16_03.jpg,512,512
16_04.jpg,0.38,16_04.jpg,512,512
16 BF 2 defocus 323.03nm.png,0.235,16_BF_2_defocus_323.03nm.png,1024,1024
16.jpg,1.5,16.jpg,512,512
17_01.jpg,0.38,17_01.jpg,512,512
17_02.jpg,0.38,17_02.jpg,512,512
17_03.jpg,0.38,17_03.jpg,512,512
17.jpg,1.5,17.jpg,512,512
18_01.jpg,0.38,18_01.jpg,512,512
18_02.jpg,0.38,18_02.jpg,512,512
18_03.jpg,0.38,18_03.jpg,512,512
18_04.jpg,0.38,18_04.jpg,512,512
18.jpg,1.5,18.jpg,512,512
19_01.jpg,0.38,19_01.jpg,512,512
19_02.jpg,0.38,19_02.jpg,512,512
19_03.jpg,0.38,19_03.jpg,512,512
19_04.jpg,0.38,19_04.jpg,512,512
19.jpg,1.5,19.jpg,512,512
2_-1um 200K x362.35 y70.68 z20.42.png,0.056,2_-1um_200K_x362.35_y70.68_z20.42.png,2048,2048
???,0.237,2_93K.png,,
20_01.jpg,0.38,20_01.jpg,512,512
20_02.jpg,0.38,20_02.jpg,512,512
20_03.jpg,0.38,20_03.jpg,512,512
20_04.jpg,0.38,20_04.jpg,512,512
21_01.jpg,0.38,21_01.jpg,512,512
21_02.jpg,0.38,21_02.jpg,512,512
21_03.jpg,0.38,21_03.jpg,512,512
21_04.jpg,0.38,21_04.jpg,512,512
22_01.jpg,0.38,22_01.jpg,512,512
22_02.jpg,0.38,22_02.jpg,512,512
22_03.jpg,0.38,22_03.jpg,512,512
23_02.jpg,0.38,23_02.jpg,512,512
23_03.jpg,0.38,23_03.jpg,512,512
23_04.jpg,0.38,23_04.jpg,512,512
24_01.jpg,0.38,24_01.jpg,512,512
24_02.jpg,0.38,24_02.jpg,512,512
24_03.jpg,0.38,24_03.jpg,512,512
25_01.jpg,0.38,25_01.jpg,512,512
25_02.jpg,0.38,25_02.jpg,512,512
25_03.jpg,0.38,25_03.jpg,512,512
26_01.jpg,0.38,26_01.jpg,512,512
26_02.jpg,0.38,26_02.jpg,512,512
26_03.jpg,0.38,26_03.jpg,512,512
27_01.jpg,0.38,27_01.jpg,512,512
27_02.jpg,0.38,27_02.jpg,512,512
27_03.jpg,0.38,27_03.jpg,512,512
28_01.jpg,0.38,28_01.jpg,512,512
28_02.jpg,0.38,28_02.jpg,512,512
28_03.jpg,0.38,28_03.jpg,512,512
29_01.jpg,0.38,29_01.jpg,512,512
29_02.jpg,0.38,29_02.jpg,512,512
29_03.jpg,0.38,29_03.jpg,512,512
29_04.jpg,0.38,29_04.jpg,512,512
3_-1um_200K.png,0.056,3_-1um_200K.png,2048,2048
3 115K.png,0.192,3_115K.png,1024,1024
3 200K -1um.png,0.056,3_200K_-1um.png,2048,2048
3 59K.png,0.368,3_59K.png,1024,1024
3-1 31K x-297.95 y64.08.png,0.714,3-1_31K_x-297.95_y64.08.png,1024,1024
3-1 39K.png,0.559,3-1_39K.png,1024,1024
3-1 59K defocus -1um.png,0.368,3-1_59K_defocus_-1um.png,1024,1024
3-1 93K -1um.png,0.237,3-1_93K_-1um.png,1024,1024
3-1 defocus -1um_2.png,0.143,3-1_defocus_-1um_2.png,1024,1024
3-2 defocus -2um.png,0.143,3-2_defocus_-2um.png,1024,1024
???,0.143,3-3_defocus_-3um.png,,
30_01.jpg,0.38,30_01.jpg,512,512
30_02.jpg,0.38,30_02.jpg,512,512
30_03.jpg,0.38,30_03.jpg,512,512
30_04.jpg,0.38,30_04.jpg,512,512
30_05.jpg,0.38,30_05.jpg,512,512
31_01.jpg,0.38,31_01.jpg,512,512
31_02.jpg,0.38,31_02.jpg,512,512
31_03.jpg,0.38,31_03.jpg,512,512
32_02.jpg,0.38,32_02.jpg,512,512
32_03.jpg,0.38,32_03.jpg,512,512
33_01.jpg,0.38,33_01.jpg,512,512
33_02.jpg,0.38,33_02.jpg,512,512
33_03.jpg,0.38,33_03.jpg,512,512
34_01.jpg,0.38,34_01.jpg,512,512
34_02.jpg,0.38,34_02.jpg,512,512
35_01.jpg,0.38,35_01.jpg,512,512
35_02.jpg,0.38,35_02.jpg,512,512
35_03.jpg,0.38,35_03.jpg,512,512
36_01.jpg,0.38,36_01.jpg,512,512
36_02.jpg,0.38,36_02.jpg,512,512
37_01.jpg,0.38,37_01.jpg,512,512
37_02.jpg,0.38,37_02.jpg,512,512
38_01.jpg,0.38,38_01.jpg,512,512
38_02.jpg,0.38,38_02.jpg,512,512
39_01.jpg,0.38,39_01.jpg,512,512
39_02.jpg,0.38,39_02.jpg,512,512
39_03.jpg,0.38,39_03.jpg,512,512
4_-1um 200K.png,0.056,4_-1um_200K.png,2048,2048
4 200K -1um.png,0.056,4_200K_-1um.png,2048,2048
4 59K.png,0.368,4_59K.png,1024,1024
4-1 155K -1um.png,0.143,4-1_155K_-1um.png,1024,1024
4-1 defocus -1um x361.21 y70.86 z21.1.png,0.143,4-1_defocus_-1um_x361.21_y70.86_z21.1.png,1024,1024
4-2 115K -1um.png,0.192,4-2_115K_-1um.png,1024,1024
4-2 200K -1um.png,0.112,4-2_200K_-1um.png,1024,1024
4-2 defocus -2um.png,0.143,4-2_defocus_-2um.png,1024,1024
4-3 155K -1um.png,0.143,4-3_155K_-1um.png,1024,1024
???,0.112,4-3_200K_-1um.png,,
4-3 defocus -3um.png,0.143,4-3_defocus_-3um.png,1024,1024
40_01.jpg,0.38,40_01.jpg,512,512
40_02.jpg,0.38,40_02.jpg,512,512
40_03.jpg,0.38,40_03.jpg,512,512
41_01.jpg,0.38,41_01.jpg,512,512
41_02.jpg,0.38,41_02.jpg,512,512
41_03.jpg,0.38,41_03.jpg,512,512
41_04.jpg,0.38,41_04.jpg,512,512
41dpa voids 5 -512.png,0.164,41dpa_voids_5_-512.png,1024,1024
41dpa voids5 +512.png,0.164,41dpa_voids5_+512.png,1024,1024
41dpa voids9 -512-1.png,0.164,41dpa_voids9_-512-1.png,1024,1024
41dpa voids9 +512-1.png,0.164,41dpa_voids9_+512-1.png,1024,1024
42_01.jpg,0.38,42_01.jpg,512,512
42_02.jpg,0.38,42_02.jpg,512,512
42_03.jpg,0.38,42_03.jpg,512,512
42_04.jpg,0.38,42_04.jpg,512,512
42_05.jpg,0.38,42_05.jpg,512,512
43_01.jpg,0.38,43_01.jpg,512,512
43_02.jpg,0.38,43_02.jpg,512,512
43_04.jpg,0.38,43_04.jpg,512,512
44_01.jpg,0.38,44_01.jpg,512,512
44_02.jpg,0.38,44_02.jpg,512,512
44_03.jpg,0.38,44_03.jpg,512,512
44_04.jpg,0.38,44_04.jpg,512,512
45_01.jpg,0.38,45_01.jpg,512,512
45_02.jpg,0.38,45_02.jpg,512,512
45_03.jpg,0.38,45_03.jpg,512,512
46_01.jpg,0.38,46_01.jpg,512,512
46_02.jpg,0.38,46_02.jpg,512,512
46_03.jpg,0.38,46_03.jpg,512,512
47_01.jpg,0.38,47_01.jpg,512,512
47_02.jpg,0.38,47_02.jpg,512,512
47_03.jpg,0.38,47_03.jpg,512,512
47_04.jpg,0.38,47_04.jpg,512,512
47_05.jpg,0.38,47_05.jpg,512,512
48_01.jpg,0.38,48_01.jpg,512,512
48_02.jpg,0.38,48_02.jpg,512,512
48_03.jpg,0.38,48_03.jpg,512,512
49_01.jpg,0.38,49_01.jpg,512,512
49_02.jpg,0.38,49_02.jpg,512,512
49_03.jpg,0.38,49_03.jpg,512,512
49_04.jpg,0.38,49_04.jpg,512,512
5 115K.png,0.192,5_115K.png,1024,1024
5_115K.png,0.192,5_115K.png,1024,1024
5 200K -1um.png,0.056,5_200K_-1um.png,2048,2048
5_200K -1um.png,0.056,5_200K_-1um.png,2048,2048
5 59K.png,0.368,5_59K.png,1024,1024
5_78K.png,0.286,5_78K.png,1024,1024
5-1 115K -1um.png,0.192,5-1_115K_-1um.png,1024,1024
5-1 200K defocus -1um.png,0.112,5-1_200K_defocus_-1um.png,1024,1024
???,0.714,5-1_31K_-1um.png,,
5-1 59K -1um.png,0.368,5-1_59K_-1um.png,1024,1024
5-1 59K.png,0.368,5-1_59K.png,1024,1024
5-1 78K -1um.png,0.286,5-1_78K_-1um.png,1024,1024
5-1 93K -1um.png,0.237,5-1_93K_-1um.png,1024,1024
5-2 -2um.png,0.112,5-2_-2um.png,1024,1024
5-2 115K -1um.png,0.192,5-2_115K_-1um.png,1024,1024
5-2 39K -1um.png,0.559,5-2_39K_-1um.png,1024,1024
5-2 78K -1um.png,0.286,5-2_78K_-1um.png,1024,1024
5-2 93K -1um.png,0.237,5-2_93K_-1um.png,1024,1024
5-3 1um.png,0.112,5-3_1um.png,1024,1024
5-3 200K defocus -1um.png,0.112,5-3_200K_defocus_-1um.png,1024,1024
5-3 39K -1um.png,0.559,5-3_39K_-1um.png,1024,1024
5-3 59K -1um.png,0.368,5-3_59K_-1um.png,1024,1024
5-3 78K -1um.png,0.286,5-3_78K_-1um.png,1024,1024
5-3 93K -1um.png,0.237,5-3_93K_-1um.png,1024,1024
5-4 2um.png,0.112,5-4_2um.png,1024,1024
50_01.jpg,0.38,50_01.jpg,512,512
50_02.jpg,0.38,50_02.jpg,512,512
50_03.jpg,0.38,50_03.jpg,512,512
50_04.jpg,0.38,50_04.jpg,512,512
50_05.jpg,0.38,50_05.jpg,512,512
51_01.jpg,0.38,51_01.jpg,512,512
51_02.jpg,0.38,51_02.jpg,512,512
51_03.jpg,0.38,51_03.jpg,512,512
51_04.jpg,0.38,51_04.jpg,512,512
52_01.jpg,0.38,52_01.jpg,512,512
52_02.jpg,0.38,52_02.jpg,512,512
52_03.jpg,0.38,52_03.jpg,512,512
52_04.jpg,0.38,52_04.jpg,512,512
53_01.jpg,0.38,53_01.jpg,512,512
53_02.jpg,0.38,53_02.jpg,512,512
53_03.jpg,0.38,53_03.jpg,512,512
53_04.jpg,0.38,53_04.jpg,512,512
54_01.jpg,0.38,54_01.jpg,512,512
54_02.jpg,0.38,54_02.jpg,512,512
54_03.jpg,0.38,54_03.jpg,512,512
54_04.jpg,0.38,54_04.jpg,512,512
54_05.jpg,0.38,54_05.jpg,512,512
55_01.jpg,0.38,55_01.jpg,512,512
55_02.jpg,0.38,55_02.jpg,512,512
55_03.jpg,0.38,55_03.jpg,512,512
